rank,prev_rank,name,league,off,def,spi
1,1,Bayern Munich,German Bundesliga,3.41,0.38,93.97
2,2,Manchester City,Barclays Premier League,3.02,0.37,92.02
3,4,Barcelona,Spanish Primera Division,2.85,0.41,90.29
4,6,Paris Saint-Germain,French Ligue 1,2.99,0.5,89.87
5,5,Real Madrid,Spanish Primera Division,2.57,0.32,89.6
6,3,Liverpool,Barclays Premier League,2.84,0.5,88.81
7,7,Atletico Madrid,Spanish Primera Division,2.32,0.31,87.43
8,8,RB Leipzig,German Bundesliga,2.49,0.51,85.29
9,9,Borussia Dortmund,German Bundesliga,2.43,0.49,85.06
10,12,Chelsea,Barclays Premier League,2.49,0.55,84.52
11,11,Internazionale,Italy Serie A,2.62,0.65,84.03
12,13,Juventus,Italy Serie A,2.42,0.63,82.21
13,15,Sevilla FC,Spanish Primera Division,2.11,0.45,82.1
14,10,Manchester United,Barclays Premier League,2.38,0.64,81.34
15,22,Tottenham Hotspur,Barclays Premier League,2.33,0.62,81.3
16,17,Napoli,Italy Serie A,2.22,0.56,81.13
17,14,FC Salzburg,Austrian T-Mobile Bundesliga,2.93,1.01,81.08
18,19,AC Milan,Italy Serie A,2.26,0.61,80.64
19,18,Leicester City,Barclays Premier League,2.21,0.61,79.83
20,16,Atalanta,Italy Serie A,2.47,0.77,79.83
21,24,Real Sociedad,Spanish Primera Division,2.01,0.51,79.2
22,20,Arsenal,Barclays Premier League,2.16,0.64,78.56
23,21,Zenit St Petersburg,Russian Premier Liga,2.15,0.63,78.48
24,25,Bayer Leverkusen,German Bundesliga,2.15,0.64,78.27
25,29,Borussia Monchengladbach,German Bundesliga,2.2,0.71,77.57
26,27,Everton,Barclays Premier League,2.12,0.68,76.89
27,31,Lyon,French Ligue 1,1.98,0.61,76.63
28,30,Villarreal,Spanish Primera Division,2.1,0.71,75.98
29,28,FC Porto,Portuguese Liga,2.17,0.77,75.86
30,23,Wolverhampton,Barclays Premier League,1.85,0.55,75.81
31,26,Benfica,Portuguese Liga,2.23,0.83,75.3
32,34,AS Roma,Italy Serie A,2.14,0.78,75.26
33,32,Olympiacos,Greek Super League,2.05,0.71,75.22
34,33,Ajax,Dutch Eredivisie,2.37,0.96,74.68
35,35,Getafe,Spanish Primera Division,1.71,0.52,74.27
36,39,TSG Hoffenheim,German Bundesliga,2.3,0.95,73.71
37,52,West Ham United,Barclays Premier League,2.07,0.8,73.65
38,40,Real Betis,Spanish Primera Division,1.95,0.74,73.07
39,41,Eintracht Frankfurt,German Bundesliga,2.11,0.86,72.91
40,59,Aston Villa,Barclays Premier League,2.02,0.81,72.43
41,37,Lazio,Italy Serie A,2.05,0.84,72.35
42,42,Southampton,Barclays Premier League,1.93,0.75,72.31
43,38,VfL Wolfsburg,German Bundesliga,1.88,0.73,72.04
44,45,Lille,French Ligue 1,1.79,0.68,71.56
45,36,Granada,Spanish Primera Division,1.88,0.76,71.29
46,44,Brighton and Hove Albion,Barclays Premier League,1.93,0.83,70.38
47,48,Flamengo,Brasileiro Série A,1.96,0.86,70.3
48,49,Club Brugge,Belgian Jupiler League,1.99,0.88,70.29
49,46,Celta Vigo,Spanish Primera Division,1.73,0.69,70.03
50,47,Fiorentina,Italy Serie A,1.91,0.86,69.33
51,57,Celtic,Scottish Premiership,2.17,1.06,69.25
52,56,Hertha Berlin,German Bundesliga,2.0,0.95,68.94
53,58,Athletic Bilbao,Spanish Primera Division,1.68,0.72,68.51
54,50,Osasuna,Spanish Primera Division,1.75,0.78,68.41
55,54,Stade Rennes,French Ligue 1,1.75,0.78,68.28
56,55,Young Boys,Swiss Raiffeisen Super League,2.04,1.01,68.05
57,51,Burnley,Barclays Premier League,1.79,0.83,67.75
58,53,Crystal Palace,Barclays Premier League,1.73,0.79,67.68
59,60,Sheffield United,Barclays Premier League,1.66,0.75,67.39
60,61,CSKA Moscow,Russian Premier Liga,1.72,0.8,67.3
61,62,AS Monaco,French Ligue 1,1.92,0.96,67.16
62,66,Levante,Spanish Primera Division,1.88,0.93,67.09
63,64,Eibar,Spanish Primera Division,1.66,0.78,66.58
64,84,Leeds United,Barclays Premier League,1.85,0.96,65.87
65,69,Sassuolo,Italy Serie A,1.97,1.06,65.73
66,68,River Plate,Argentina Primera Division,1.74,0.88,65.48
67,82,SD Huesca,Spanish Primera Division,1.63,0.8,65.33
68,74,Newcastle,Barclays Premier League,1.73,0.89,65.22
69,65,Valencia,Spanish Primera Division,1.78,0.93,65.2
70,75,Cadiz,Spanish Primera Division,1.64,0.84,64.73
71,81,FC Augsburg,German Bundesliga,1.74,0.94,64.26
72,67,Palmeiras,Brasileiro Série A,1.59,0.81,64.24
73,72,Marseille,French Ligue 1,1.71,0.91,64.22
74,71,Real Valladolid,Spanish Primera Division,1.56,0.79,64.14
75,78,Werder Bremen,German Bundesliga,1.8,1.0,64.04
76,76,Grêmio,Brasileiro Série A,1.64,0.86,64.0
77,94,1. FC Union Berlin,German Bundesliga,1.72,0.93,63.99
78,86,AFC Bournemouth,English League Championship,1.81,1.01,63.85
79,85,VfB Stuttgart,German Bundesliga,1.77,0.99,63.54
80,89,Kawasaki Frontale,Japanese J League,2.06,1.24,63.4
81,80,SC Freiburg,German Bundesliga,1.86,1.07,63.37
82,83,Watford,English League Championship,1.67,0.92,63.24
83,77,FC Cologne,German Bundesliga,1.85,1.07,63.16
84,88,Alavés,Spanish Primera Division,1.6,0.87,62.91
85,73,FC Krasnodar,Russian Premier Liga,1.67,0.94,62.83
86,102,Lens,French Ligue 1,1.65,0.93,62.41
87,79,PSV,Dutch Eredivisie,1.87,1.12,62.39
88,97,Espanyol,Spanish Segunda Division,1.65,0.95,62.13
89,95,Spartak Moscow,Russian Premier Liga,1.57,0.89,61.92
90,90,Montpellier,French Ligue 1,1.66,0.97,61.91
91,93,Guangzhou Evergrande,Chinese Super League,1.87,1.15,61.79
92,98,Udinese,Italy Serie A,1.58,0.9,61.72
93,109,Sporting CP,Portuguese Liga,1.59,0.91,61.67
94,110,Braga,Portuguese Liga,1.77,1.07,61.48
95,115,Rangers,Scottish Premiership,1.72,1.04,61.31
96,92,Fulham,Barclays Premier League,1.67,1.02,60.7
97,101,PAOK Salonika,Greek Super League,1.46,0.85,60.44
98,112,Bordeaux,French Ligue 1,1.44,0.83,60.41
99,111,Lokomotiv Moscow,Russian Premier Liga,1.45,0.85,60.27
100,103,Boca Juniors,Argentina Primera Division,1.47,0.87,60.25
101,104,AEK Athens,Greek Super League,1.53,0.92,60.22
102,100,Trabzonspor,Turkish Turkcell Super Lig,1.9,1.24,60.21
103,116,Bologna,Italy Serie A,1.67,1.05,60.04
104,91,Brentford,English League Championship,1.62,1.01,59.94
105,114,Sampdoria,Italy Serie A,1.73,1.11,59.93
106,105,AZ,Dutch Eredivisie,1.88,1.24,59.87
107,108,Norwich City,English League Championship,1.66,1.05,59.81
108,124,São Paulo,Brasileiro Série A,1.42,0.85,59.6
109,107,Elche,Spanish Primera Division,1.58,0.99,59.54
110,99,Basel,Swiss Raiffeisen Super League,1.85,1.24,59.36
111,122,Arminia Bielefeld,German Bundesliga,1.55,0.97,59.35
112,129,Feyenoord,Dutch Eredivisie,1.93,1.31,59.25
113,123,Internacional,Brasileiro Série A,1.39,0.83,59.18
114,96,Mainz,German Bundesliga,1.8,1.21,59.02
115,117,Atletico Mineiro,Brasileiro Série A,1.63,1.06,58.86
116,113,Verona,Italy Serie A,1.56,1.01,58.65
